date,open,high,low,close,volume,amount,stock_code,stock_name,market
2023-08-24,1664.45,1709.7,1660.13,1698.76,2605509,,sh.600519,A股贵州茅台,CN
2023-08-25,1691.73,1718.84,1689.13,1706.88,1883086,,sh.600519,A股贵州茅台,CN
2023-08-28,1775.71,1775.71,1713.33,1716.22,4105213,,sh.600519,A股贵州茅台,CN
2023-08-29,1709.7,1748.12,1709.7,1731.52,2895028,,sh.600519,A股贵州茅台,CN
2023-08-30,1747.02,1747.11,1724.35,1735.89,1981181,,sh.600519,A股贵州茅台,CN
2023-08-31,1739.63,1739.63,1721.87,1727.47,1482022,,sh.600519,A股贵州茅台,CN
2023-09-01,1732.92,1744.75,1726.56,1731.26,1314519,,sh.600519,A股贵州茅台,CN
2023-09-04,1742.06,1758.28,1733.58,1745.24,2387100,,sh.600519,A股贵州茅台,CN
2023-09-05,1747.11,1747.11,1736.64,1738.41,1565874,,sh.600519,A股贵州茅台,CN
2023-09-06,1737.76,1745.86,1729.35,1740.57,1112143,,sh.600519,A股贵州茅台,CN
2023-09-07,1732.71,1736.72,1712.68,1719.05,1698157,,sh.600519,A股贵州茅台,CN
2023-09-08,1716.19,1716.19,1697.5,1700.82,1221178,,sh.600519,A股贵州茅台,CN
2023-09-11,1691.0,1720.92,1691.0,1704.25,1592600,,sh.600519,A股贵州茅台,CN
2023-09-12,1708.39,1708.75,1698.5,1702.18,1216801,,sh.600519,A股贵州茅台,CN
2023-09-13,1711.5,1711.5,1683.56,1702.13,1950143,,sh.600519,A股贵州茅台,CN
2023-09-14,1704.58,1708.75,1689.12,1700.99,1750459,,sh.600519,A股贵州茅台,CN
2023-09-15,1701.28,1702.01,1666.02,1666.67,2843146,,sh.600519,A股贵州茅台,CN
2023-09-18,1661.36,1711.1,1658.26,1710.82,3255892,,sh.600519,A股贵州茅台,CN
2023-09-19,1704.28,1710.64,1691.0,1708.71,1498950,,sh.600519,A股贵州茅台,CN
2023-09-20,1704.09,1711.57,1700.39,1705.96,1250178,,sh.600519,A股贵州茅台,CN
2023-09-21,1700.36,1704.09,1682.01,1682.01,1948919,,sh.600519,A股贵州茅台,CN
2023-09-22,1688.78,1730.24,1676.41,1729.34,3439046,,sh.600519,A股贵州茅台,CN
2023-09-25,1727.94,1728.41,1708.38,1713.8,1397913,,sh.600519,A股贵州茅台,CN
2023-09-26,1709.7,1716.14,1695.77,1698.48,1576196,,sh.600519,A股贵州茅台,CN
2023-09-27,1697.54,1714.85,1686.13,1696.61,2087994,,sh.600519,A股贵州茅台,CN
2023-09-28,1706.88,1706.88,1681.46,1682.16,2053784,,sh.600519,A股贵州茅台,CN
2023-10-09,1680.65,1680.65,1650.68,1662.0,2976268,,sh.600519,A股贵州茅台,CN
2023-10-10,1667.51,1682.56,1653.58,1655.45,2028392,,sh.600519,A股贵州茅台,CN
2023-10-11,1669.16,1669.16,1653.58,1663.4,2194486,,sh.600519,A股贵州茅台,CN
2023-10-12,1681.55,1681.86,1662.19,1670.42,1486507,,sh.600519,A股贵州茅台,CN
2023-10-13,1656.28,1662.95,1625.7,1637.68,2502788,,sh.600519,A股贵州茅台,CN
2023-10-16,1637.67,1642.36,1610.98,1617.95,2078965,,sh.600519,A股贵州茅台,CN
2023-10-17,1626.46,1626.87,1604.95,1614.3,1494523,,sh.600519,A股贵州茅台,CN
2023-10-18,1607.57,1629.27,1606.05,1616.17,2031750,,sh.600519,A股贵州茅台,CN
2023-10-19,1589.98,1590.01,1520.8,1524.51,7349237,,sh.600519,A股贵州茅台,CN
2023-10-20,1524.51,1547.9,1511.65,1538.54,4537601,,sh.600519,A股贵州茅台,CN
2023-10-23,1524.49,1552.57,1516.66,1537.59,2523423,,sh.600519,A股贵州茅台,CN
2023-10-24,1541.35,1546.36,1516.29,1536.63,2986146,,sh.600519,A股贵州茅台,CN
2023-10-25,1562.03,1588.11,1559.14,1568.94,3617898,,sh.600519,A股贵州茅台,CN
2023-10-26,1559.12,1578.76,1554.45,1564.01,2238635,,sh.600519,A股贵州茅台,CN
2023-10-27,1556.31,1582.39,1553.13,1568.2,3426239,,sh.600519,A股贵州茅台,CN
2023-10-30,1560.99,1579.58,1560.99,1572.21,2408642,,sh.600519,A股贵州茅台,CN
2023-10-31,1571.28,1580.63,1559.92,1575.56,1985877,,sh.600519,A股贵州茅台,CN
2023-11-01,1730.28,1730.28,1659.0,1665.73,9314308,,sh.600519,A股贵州茅台,CN
2023-11-02,1678.84,1678.84,1661.12,1664.34,2790764,,sh.600519,A股贵州茅台,CN
2023-11-03,1664.81,1697.44,1659.2,1694.03,3017600,,sh.600519,A股贵州茅台,CN
2023-11-06,1702.22,1705.76,1684.56,1694.74,2552392,,sh.600519,A股贵州茅台,CN
2023-11-07,1688.19,1692.87,1668.62,1675.25,1958159,,sh.600519,A股贵州茅台,CN
2023-11-08,1668.6,1687.07,1667.49,1681.96,1454567,,sh.600519,A股贵州茅台,CN
2023-11-09,1674.26,1682.58,1667.61,1678.0,1280048,,sh.600519,A股贵州茅台,CN
2023-11-10,1665.32,1672.29,1658.35,1660.92,1646557,,sh.600519,A股贵州茅台,CN
2023-11-13,1657.59,1669.37,1643.28,1649.84,1836995,,sh.600519,A股贵州茅台,CN
2023-11-14,1649.84,1660.12,1646.11,1651.03,1281675,,sh.600519,A股贵州茅台,CN
2023-11-15,1663.87,1667.51,1652.65,1658.19,1843486,,sh.600519,A股贵州茅台,CN
2023-11-16,1659.2,1661.07,1646.15,1646.15,1255757,,sh.600519,A股贵州茅台,CN
2023-11-17,1638.62,1645.17,1625.43,1639.95,2171363,,sh.600519,A股贵州茅台,CN
2023-11-20,1641.43,1654.99,1624.27,1648.44,1860804,,sh.600519,A股贵州茅台,CN
2023-11-21,1668.01,1681.64,1655.55,1674.16,3009845,,sh.600519,A股贵州茅台,CN
2023-11-22,1667.89,1678.23,1665.31,1666.22,1266457,,sh.600519,A股贵州茅台,CN
2023-11-23,1663.22,1672.29,1656.39,1670.42,1154964,,sh.600519,A股贵州茅台,CN
2023-11-24,1673.22,1673.22,1660.13,1662.0,1308540,,sh.600519,A股贵州茅台,CN
2023-11-27,1658.54,1658.54,1641.43,1648.91,1626074,,sh.600519,A股贵州茅台,CN
2023-11-28,1647.04,1659.08,1644.23,1654.56,1451976,,sh.600519,A股贵州茅台,CN
2023-11-29,1653.58,1661.07,1644.23,1659.86,1714933,,sh.600519,A股贵州茅台,CN
2023-11-30,1661.74,1678.61,1656.46,1675.56,2135342,,sh.600519,A股贵州茅台,CN
2023-12-01,1673.51,1673.88,1634.88,1646.36,3305131,,sh.600519,A股贵州茅台,CN
2023-12-04,1646.36,1647.81,1632.33,1637.41,1844047,,sh.600519,A股贵州茅台,CN
2023-12-05,1635.61,1635.7,1597.49,1598.4,2990301,,sh.600519,A股贵州茅台,CN
2023-12-06,1592.44,1608.19,1591.04,1592.79,2385129,,sh.600519,A股贵州茅台,CN
2023-12-07,1593.73,1598.48,1578.11,1589.98,2504150,,sh.600519,A股贵州茅台,CN
2023-12-08,1589.98,1598.25,1582.71,1594.59,2628801,,sh.600519,A股贵州茅台,CN
2023-12-11,1580.63,1593.73,1549.77,1588.11,3683098,,sh.600519,A股贵州茅台,CN
2023-12-12,1578.39,1599.33,1575.02,1599.33,2101066,,sh.600519,A股贵州茅台,CN
2023-12-13,1594.87,1595.33,1549.84,1552.57,3878870,,sh.600519,A股贵州茅台,CN
2023-12-14,1558.15,1561.8,1529.21,1530.03,4067215,,sh.600519,A股贵州茅台,CN
2023-12-15,1541.56,1569.19,1537.62,1538.54,3709251,,sh.600519,A股贵州茅台,CN
2023-12-18,1533.87,1555.69,1529.19,1554.44,1989734,,sh.600519,A股贵州茅台,CN
2023-12-19,1557.25,1571.16,1538.63,1566.6,2220676,,sh.600519,A股贵州茅台,CN
2023-12-20,1568.6,1570.49,1554.41,1560.83,2309203,,sh.600519,A股贵州茅台,CN
2023-12-21,1551.58,1582.15,1551.58,1579.95,2901168,,sh.600519,A股贵州茅台,CN
2023-12-22,1579.67,1588.56,1568.61,1580.57,2166684,,sh.600519,A股贵州茅台,CN
2023-12-25,1580.9,1588.09,1578.06,1581.84,1247106,,sh.600519,A股贵州茅台,CN
2023-12-26,1582.32,1584.59,1568.12,1579.95,1477126,,sh.600519,A股贵州茅台,CN
2023-12-27,1578.06,1586.71,1571.44,1577.17,1605550,,sh.600519,A股贵州茅台,CN
2023-12-28,1580.89,1634.81,1577.17,1631.98,3833806,,sh.600519,A股贵州茅台,CN
2023-12-29,1627.25,1655.24,1627.25,1632.93,2753868,,sh.600519,A股贵州茅台,CN
2024-01-02,1622.52,1625.54,1587.61,1594.15,3215644,,sh.600519,A股贵州茅台,CN
2024-01-03,1590.46,1603.81,1585.94,1602.66,2022929,,sh.600519,A股贵州茅台,CN
2024-01-04,1601.71,1601.71,1573.26,1579.0,2155107,,sh.600519,A股贵州茅台,CN
2024-01-05,1571.75,1588.14,1563.02,1573.67,2024286,,sh.600519,A股贵州茅台,CN
2024-01-08,1571.44,1572.38,1551.58,1555.34,2558620,,sh.600519,A股贵州茅台,CN
2024-01-09,1552.52,1563.22,1546.9,1552.51,2441204,,sh.600519,A股贵州茅台,CN
2024-01-10,1552.61,1569.98,1549.68,1552.99,1735067,,sh.600519,A股贵州茅台,CN
2024-01-11,1551.66,1568.54,1549.73,1557.78,1644055,,sh.600519,A股贵州茅台,CN
2024-01-12,1551.54,1562.22,1551.0,1554.46,1160324,,sh.600519,A股贵州茅台,CN
2024-01-15,1546.84,1565.73,1546.32,1551.57,1785403,,sh.600519,A股贵州茅台,CN
2024-01-16,1550.15,1558.19,1537.32,1551.03,2590314,,sh.600519,A股贵州茅台,CN
2024-01-17,1542.11,1547.29,1491.97,1491.97,5163276,,sh.600519,A股贵州茅台,CN
2024-01-18,1489.13,1525.83,1471.67,1524.01,6043981,,sh.600519,A股贵州茅台,CN
2024-01-19,1522.12,1549.69,1514.56,1546.84,4637843,,sh.600519,A股贵州茅台,CN
2024-01-22,1541.16,1554.41,1531.59,1553.46,4694589,,sh.600519,A股贵州茅台,CN
2024-01-23,1544.01,1551.52,1522.24,1531.7,3483490,,sh.600519,A股贵州茅台,CN
2024-01-24,1541.16,1545.74,1517.09,1538.32,3321635,,sh.600519,A股贵州茅台,CN
2024-01-25,1539.1,1552.51,1534.54,1549.68,3120580,,sh.600519,A股贵州茅台,CN
2024-01-26,1542.45,1555.45,1535.48,1549.03,2695475,,sh.600519,A股贵州茅台,CN
2024-01-29,1551.85,1571.04,1551.84,1561.03,3142068,,sh.600519,A股贵州茅台,CN
2024-01-30,1561.01,1561.01,1523.19,1526.02,3086633,,sh.600519,A股贵州茅台,CN
2024-01-31,1526.02,1532.62,1511.96,1518.37,2964912,,sh.600519,A股贵州茅台,CN
2024-02-01,1518.93,1536.33,1514.67,1523.21,2648515,,sh.600519,A股贵州茅台,CN
2024-02-02,1527.92,1540.01,1495.75,1509.94,3938202,,sh.600519,A股贵州茅台,CN
2024-02-05,1509.94,1549.15,1509.23,1542.12,5313036,,sh.600519,A股贵州茅台,CN
2024-02-06,1542.12,1594.6,1538.42,1585.63,5247204,,sh.600519,A股贵州茅台,CN
2024-02-07,1590.39,1622.14,1572.01,1618.73,5260107,,sh.600519,A股贵州茅台,CN
2024-02-08,1627.26,1631.98,1594.14,1614.01,4675654,,sh.600519,A股贵州茅台,CN
2024-02-19,1644.16,1644.22,1596.98,1604.01,3697744,,sh.600519,A股贵州茅台,CN
2024-02-20,1605.83,1605.83,1567.23,1579.95,3447007,,sh.600519,A股贵州茅台,CN
2024-02-21,1576.18,1637.66,1572.38,1625.04,4615407,,sh.600519,A股贵州茅台,CN
2024-02-22,1615.43,1630.1,1608.83,1625.72,2279361,,sh.600519,A股贵州茅台,CN
2024-02-23,1618.84,1631.4,1608.35,1621.66,2730589,,sh.600519,A股贵州茅台,CN
2024-02-26,1615.9,1616.6,1594.16,1603.58,2731832,,sh.600519,A股贵州茅台,CN
2024-02-27,1592.25,1601.63,1587.52,1598.4,2207985,,sh.600519,A股贵州茅台,CN
